iter	Passed	Remaining
571	2848	2131
572	2853	2126
573	2856	2119
574	2860	2114
575	2864	2108
576	2867	2102
577	2871	2096
578	2876	2091
579	2879	2085
580	2884	2080
581	2888	2074
582	2891	2068
583	2897	2063
584	2901	2058
585	2906	2053
586	2910	2047
587	2914	2041
588	2918	2036
589	2922	2031
590	2926	2025
591	2930	2019
592	2935	2014
593	2940	2010
594	2944	2004
595	2949	1999
596	2953	1994
597	2956	1987
598	2960	1982
599	2965	1977
600	2970	1971
601	2974	1966
602	2978	1960
603	2983	1955
604	2987	1950
605	2990	1944
606	2995	1939
607	3000	1934
608	3004	1928
609	3007	1922
610	3012	1917
611	3016	1912
612	3019	1906
613	3024	1901
614	3029	1896
615	3032	1890
616	3035	1884
617	3039	1879
618	3043	1873
619	3046	1867
620	3050	1862
621	3054	1856
622	3058	1850
623	3062	1845
624	3065	1839
625	3070	1834
626	3073	1828
627	3077	1822
628	3081	1817
629	3085	1812
630	3088	1806
631	3093	1801
632	3097	1795
633	3100	1790
634	3105	1784
635	3110	1779
636	3113	1774
637	3117	1768
638	3122	1763
639	3125	1757
640	3129	1752
641	3133	1747
642	3136	1741
643	3139	1735
644	3144	1730
645	3148	1725
646	3151	1719
647	3156	1714
648	3159	1708
649	3166	1705
650	3171	1700
651	3174	1694
652	3179	1689
653	3183	1684
654	3186	1678
655	3190	1673
656	3194	1667
657	3197	1662
658	3202	1657
659	3205	1651
660	3209	1646
661	3213	1640
662	3216	1635
663	3221	1630
664	3225	1624
665	3228	1619
666	3232	1613
667	3237	1608
668	3240	1603
669	3244	1598
670	3248	1592
671	3253	1588
672	3256	1582
673	3261	1577
674	3265	1572
675	3268	1566
676	3273	1561
677	3277	1556
678	3280	1550
679	3285	1545
680	3288	1540
681	3292	1535
682	3296	1530
683	3301	1525
684	3304	1519
685	3308	1514
686	3313	1509
687	3317	1504
688	3320	1498
689	3325	1493
690	3329	1489
691	3332	1483
692	3337	1478
693	3342	1473
694	3347	1468
695	3350	1463
696	3355	1458
697	3358	1453
698	3361	1447
699	3366	1442
700	3370	1437
701	3373	1432
702	3378	1427
703	3383	1422
704	3386	1417
705	3390	1412
706	3395	1407
707	3398	1401
708	3402	1396
709	3406	1391
710	3409	1385
711	3413	1380
712	3417	1375
713	3420	1370
714	3425	1365
715	3429	1360
716	3432	1354
717	3437	1349
718	3440	1344
719	3443	1339
720	3448	1334
721	3452	1329
722	3455	1323
723	3460	1319
724	3465	1314
725	3468	1308
726	3472	1303
727	3477	1299
728	3480	1293
729	3484	1288
730	3488	1283
731	3493	1278
732	3496	1273
733	3500	1268
734	3504	1263
735	3507	1258
736	3511	1253
737	3515	1247
738	3518	1242
739	3522	1237
740	3525	1232
741	3530	1227
742	3534	1222
743	3537	1217
744	3554	1216
745	3560	1212
746	3564	1207
747	3568	1202
748	3572	1197
749	3576	1192
750	3580	1187
751	3584	1181
752	3588	1177
753	3592	1172
754	3595	1166
755	3599	1161
756	3604	1156
757	3607	1151
758	3611	1146
759	3615	1141
760	3618	1136
761	3623	1131
762	3627	1126
763	3630	1121
764	3634	1116
765	3638	1111
766	3645	1107
767	3648	1102
768	3654	1097
769	3660	1093
770	3665	1088
771	3676	1085
772	3691	1084
773	3697	1079
774	3702	1074
775	3705	1069
776	3710	1064
777	3714	1059
778	3717	1054
779	3721	1049
780	3726	1045
781	3730	1039
782	3733	1034
783	3738	1030
784	3742	1025
785	3746	1019
786	3750	1015
787	3755	1010
788	3758	1005
789	3762	1000
790	3767	995
791	3770	990
792	3774	985
793	3778	980
794	3781	975
795	3785	970
796	3789	965
797	3792	959
798	3796	955
799	3801	950
800	3803	945
801	3808	940
802	3811	935
803	3815	930
804	3820	925
805	3824	920
806	3827	915
807	3831	910
808	3836	905
809	3839	900
810	3845	896
811	3850	891
812	3854	886
813	3860	882
814	3866	877
815	3869	872
816	3875	868
817	3881	863
818	3886	858
819	3892	854
820	3898	849
821	3904	845
822	3914	841
823	3945	842
824	3962	840
825	3971	836
826	3980	832
827	3989	828
828	3998	824
829	4005	820
830	4015	816
831	4083	824
832	4091	820
833	4101	816
834	4109	812
835	4133	810
836	4138	805
837	4145	801
838	4151	796
839	4157	791
840	4163	787
841	4169	782
842	4178	778
843	4183	773
844	4205	771
845	4208	766
846	4212	761
847	4216	755
848	4220	750
849	4224	745
850	4228	740
851	4231	735
852	4235	729
853	4238	724
854	4242	719
855	4246	714
856	4249	709
857	4254	704
858	4258	698
859	4261	693
860	4265	688
861	4269	683
862	4273	678
863	4277	673
864	4281	668
865	4284	662
866	4289	657
867	4292	652
868	4295	647
869	4299	642
870	4303	637
871	4306	632
872	4310	627
873	4313	621
874	4317	616
875	4321	611
876	4324	606
877	4328	601
878	4333	596
879	4337	591
880	4341	586
881	4344	581
882	4347	576
883	4351	571
884	4354	565
885	4358	560
886	4365	556
887	4371	551
888	4376	546
889	4380	541
890	4383	536
891	4387	531
892	4391	526
893	4394	521
894	4399	516
895	4402	510
896	4405	505
897	4409	500
898	4414	495
899	4417	490
900	4422	485
901	4426	480
902	4432	476
903	4435	471
904	4440	466
905	4444	461
906	4447	456
907	4452	451
908	4456	446
909	4459	441
910	4463	436
911	4467	431
912	4470	426
913	4475	421
914	4479	416
915	4482	411
916	4486	406
917	4490	401
918	4494	396
919	4498	391
920	4503	386
921	4506	381
922	4516	376
923	4520	371
924	4523	366
925	4527	361
926	4531	356
927	4534	351
928	4540	346
929	4544	342
930	4547	337
931	4551	332
932	4555	327
933	4559	322
934	4563	317
935	4568	312
